파일명,인적자원_운용,학생복지_교육격차해소,기본적_교육활동,선택적_교육활동,교육활동_지원,학교_일반운영,학교_시설확충,학교_재무활동,1인당 평균 세출,평균합계,학교급
중등_결산_세출_2024.csv,513654453.3350594,606438828.3052087,286052130.63295764,118630159.38623212,257571618.71306732,290986571.8355163,161340110.53548583,13891867.745659458,10792518.562480813,2259358259.0516677,중등
초등_결산_세출_2024.csv,70479876.2511097,543110231.4169309,303740341.46020925,318031516.96845275,213882959.26854783,284633917.56959414,53432998.24318326,9665892.169467345,10100333.43442968,1807078066.781925,초등
중등_결산_세출_2023.csv,509994876.77967656,591509121.2728105,250754222.5797986,112352466.58651206,276786924.170888,275542313.02197134,140968831.39151663,13358539.705218188,10111120.249031069,2181378415.757423,중등
중등_결산_세출_2022.csv,506847899.15220046,527267323.26711494,194532573.3517726,109844390.80348413,269028567.7044621,253331380.01466992,136023199.18306845,14904793.246638142,9285510.479347492,2021065637.202758,중등
초등_결산_세출_2023.csv,75307132.17167313,540896910.0395672,286833351.0684754,292523647.4236111,231378189.77858528,262575159.62193152,55459056.318636954,10194798.960271318,9179642.291783046,1764347887.674535,초등
초등_결산_세출_2022.csv,76943227.29394627,499929490.6090968,232944533.33392683,258350286.2128521,232034222.36079636,241397476.57089671,70945733.32162513,12169641.388960827,8483637.39668239,1633198248.4887836,초등
고등_결산_세출_2024.csv,1838489575.9482975,1176341995.0962589,561462746.5960487,344505899.95964694,498163672.8192518,479789875.9760403,611491011.5691468,43780258.86338798,13568816.928986115,5567593853.757066,고등
고등_결산_세출_2022.csv,1837786845.1790228,1019329545.4292332,370270112.76242626,295606636.6971356,463968003.3614153,410282999.8715249,399715839.5252738,37119524.11836563,11403403.17272344,4845482910.117122,고등
고등_결산_세출_2023.csv,1830350888.3898232,1080532716.8851976,489364243.50504625,336152344.55592936,489369158.6539109,437312002.18376786,481382702.6391926,41644459.08873002,12664317.819292331,5198772833.72089,고등
초등_평균,74243411.90557636,527978877.3551983,274506075.28753716,289635150.20163864,225765123.80264315,262868851.25414082,59945929.29448178,10676777.506233163,9254537.707631705,1734874734.3150814,초등
중등_평균,510165743.08897877,575071757.6150447,243779642.1881763,113609005.59207611,267795703.5294725,273286754.95738584,146110713.70335695,14051733.565838596,10063049.76361979,2153934104.0039496,중등
고등_평균,1835542436.5057144,1092068085.8035634,473699034.28784037,325421627.070904,483833611.611526,442461626.01044434,497529851.24453765,40848080.69016121,12545512.640333964,5203949865.8650255,고등
